State Code,Observation Count,Observation Percent,Arithmetic Mean,1st Max Value,1st Max Hour
12,24,100,0,0,0
12,21,88,0.666667,4,9
12,24,100,0,0,0
12,18,75,0.388889,1,14
12,14,58,1.142857,6,10
12,21,88,1.857143,4,9
12,14,58,1,3,11
12,16,67,2.5625,5,11
12,15,63,0.6,2,13
12,21,88,0.714286,2,10
12,24,100,0.166667,1,11
12,24,100,0.75,4,9
12,20,83,0.25,3,10
12,24,100,0,0,0
12,15,63,2.066667,6,10
12,18,75,0.833333,4,10
12,23,96,0.26087,1,6
12,12,50,0.5,3,11
12,9,38,1.555556,2,15
12,20,83,2.6,7,11
12,15,63,1.733333,5,14
12,21,88,1.333333,4,10
12,23,96,0.391304,1,11
12,13,54,1.692308,3,9
12,14,58,0.642857,3,11
12,24,100,0.125,1,10
12,7,29,0,0,0
12,10,42,1,3,14
12,24,100,0,0,0
12,23,96,0.173913,1,7
12,24,100,0.583333,3,11
12,24,100,0.416667,2,12
12,24,100,1.416667,7,15
12,24,100,0.875,4,10
12,24,100,0.125,1,0
12,24,100,0,0,0
12,24,100,0.375,5,15
12,24,100,0.375,1,0
12,24,100,0,0,0
12,24,100,0.166667,2,10
12,22,92,0.318182,2,14
12,24,100,0.541667,3,10
12,24,100,0.791667,4,23
12,24,100,2.791667,13,0
12,24,100,0.208333,2,9
12,24,100,1.583333,7,9
12,24,100,0,0,0
12,24,100,0.208333,1,11
12,24,100,0.208333,1,11
12,24,100,0.25,1,5
12,24,100,3.333333,37,12
12,24,100,0,0,0
12,24,100,0.208333,1,11
12,24,100,0.125,1,13
12,24,100,0,0,0
12,22,92,0,0,0
12,24,100,0,0,0
12,24,100,0.208333,1,7
12,24,100,0.291667,2,12
12,24,100,0,0,0
12,24,100,0.291667,1,11
12,12,50,0,0,0
12,10,42,0.5,1,14
12,24,100,0.625,4,15
12,24,100,0,0,0
12,24,100,0.291667,1,11
12,24,100,0,0,0
12,22,92,0.363636,1,10
12,7,29,0,0,17
12,22,92,0,0,0
12,23,96,4.26087,24,12
12,24,100,0.25,2,7
12,24,100,1,10,9
12,24,100,1.541667,16,14
12,24,100,0.458333,5,11
12,24,100,0.291667,2,10
12,24,100,0.416667,1,6
12,24,100,0,0,0
12,24,100,0,0,0
12,24,100,0.375,1,9
12,24,100,0.416667,3,9
12,24,100,0.416667,2,10
12,24,100,0.625,2,10
12,22,92,0.318182,2,9
12,24,100,0.333333,2,10
12,24,100,0.166667,2,11
12,24,100,2.583333,29,16
12,24,100,0.291667,1,10
12,24,100,0.25,2,11
12,23,96,0.826087,2,7
12,18,75,0.555556,2,8
12,24,100,0.166667,2,8
12,24,100,0.041667,1,6
12,24,100,3.291667,28,13
12,24,100,16.125,85,13
12,24,100,0.125,1,9
12,24,100,0.666667,5,16
12,24,100,4.666667,26,15
12,24,100,0.041667,1,14
12,24,100,0.375,1,7
12,22,92,0.363636,2,14
12,24,100,0.375,1,9
12,24,100,6.166667,46,16
12,24,100,0.75,4,8
12,24,100,0,0,0
12,24,100,0,0,0
12,24,100,0.125,1,9
12,24,100,0.083333,1,5
12,24,100,0,0,0
12,24,100,0,0,0
12,21,88,4.904762,16,14
12,24,100,9.875,21,15
12,24,100,8.458333,9,1
12,24,100,8.041667,9,6
12,24,100,6.5,8,0
12,24,100,5,5,0
12,24,100,5.666667,13,16
12,24,100,5.083333,6,6
12,24,100,5.333333,6,11
12,24,100,5,5,0
12,24,100,5.25,6,12
12,24,100,5.166667,6,10
12,24,100,8.75,39,14
12,24,100,8.125,57,16
12,24,100,8.708333,23,10
12,21,88,7.142857,14,10
12,24,100,5.833333,8,8
12,24,100,9.416667,28,10
12,24,100,8.083333,16,12
12,24,100,10.166667,39,12
12,24,100,5.333333,7,16
12,22,92,7.136364,19,14
12,14,58,5.785714,7,10
12,10,42,0.1,1,14
