State Code,Observation Count,Observation Percent,Arithmetic Mean,1st Max Value,1st Max Hour,AQI
12,24,100,1.291667,3,0,4
12,24,100,0.041667,1,5,1
12,24,100,0,0,0,0
12,24,100,0.291667,2,10,3
12,22,92,0.863636,3,16,4
12,24,100,1.166667,2,0,3
12,24,100,0,0,0,0
12,24,100,0.166667,1,20,1
12,21,88,1.333333,3,8,4
12,24,100,0.375,1,0,1
12,19,79,0.263158,2,12,3
12,24,100,0.833333,2,10,3
12,23,96,1.521739,5,13,7
12,24,100,1.416667,3,12,4
12,24,100,1,2,7,3
12,24,100,1.458333,3,19,4
12,24,100,1.375,3,5,4
12,24,100,0.041667,1,0,1
12,24,100,0.208333,1,7,1
12,24,100,0.208333,1,7,1
12,22,92,0.727273,2,21,3
12,24,100,0.916667,1,0,1
12,24,100,1.666667,4,9,6
12,24,100,2.333333,5,10,7
12,24,100,2.125,5,3,7
12,22,92,0.363636,3,16,4
12,24,100,0.125,1,18,1
12,24,100,0.958333,3,10,4
12,23,96,1.130435,3,22,4
12,24,100,1.25,3,8,4
12,24,100,0.375,1,8,1
12,24,100,0.208333,1,19,1
12,24,100,1.041667,2,6,3
12,24,100,0.958333,3,22,4
12,24,100,0.625,2,7,3
12,24,100,0,0,0,0
12,24,100,0,0,0,0
12,24,100,0.208333,1,7,1
12,24,100,0.208333,1,9,1
12,24,100,1.041667,5,12,7
12,24,100,0.875,3,7,4
12,22,92,0.818182,3,7,4
12,22,92,0.727273,2,7,3
12,24,100,1.666667,9,14,13
12,24,100,0.791667,1,0,1
12,24,100,0.041667,1,18,1
12,24,100,0.291667,3,19,4
12,24,100,0.291667,1,6,1
12,21,88,1.047619,4,13,6
12,22,92,1.227273,3,10,4
12,24,100,2.833333,8,11,11
12,24,100,1.083333,2,7,3
12,24,100,1.083333,2,21,3
12,24,100,1.208333,2,7,3
12,21,88,0.47619,4,13,6
12,24,100,0,0,0,0
12,24,100,0,0,0,0
12,24,100,0,0,0,0
12,13,54,0,0,0,0
12,24,100,0,0,0,0
12,24,100,0,0,0,0
12,24,100,0,0,0,0
12,24,100,0,0,0,0
12,24,100,0,0,0,0
12,24,100,0.583333,6,10,9
12,24,100,0,0,0,0
12,24,100,0,0,0,0
12,24,100,0.083333,1,13,1
12,24,100,0.708333,4,15,6
12,22,92,0.181818,1,10,1
12,23,96,0.086957,1,10,1
12,24,100,0.166667,3,8,4
12,24,100,0,0,0,0
12,24,100,0,0,0,0
12,24,100,0,0,0,0
12,24,100,0,0,0,0
12,24,100,0,0,0,0
12,24,100,0,0,0,0
12,24,100,0.083333,1,6,1
12,24,100,0,0,0,0
12,24,100,0,0,0,0
12,24,100,0.25,2,11,3
12,24,100,0,0,0,0
12,24,100,0,0,0,0
12,24,100,0,0,0,0
12,23,96,0.217391,4,11,6
12,24,100,0,0,0,0
12,24,100,0,0,0,0
12,24,100,0,0,0,0
12,24,100,0,0,0,0
12,24,100,0,0,0,0
12,24,100,0,0,0,0
12,24,100,0,0,0,0
12,24,100,0.083333,1,10,1
12,23,96,0,0,0,0
12,24,100,0.166667,1,10,1
12,23,96,0.304348,2,6,3
12,24,100,3.041667,23,13,33
12,24,100,0.25,1,9,1
12,24,100,0.416667,7,14,10
12,24,100,0,0,0,0
12,24,100,5.291667,33,14,47
12,24,100,0.041667,1,15,1
12,24,100,0.041667,1,10,1
12,24,100,0,0,0,0
12,22,92,0.181818,1,9,1
12,24,100,0,0,0,0
12,24,100,0,0,0,0
12,24,100,0,0,0,0
12,24,100,0,0,0,0
12,23,96,0,0,0,0
12,24,100,3.541667,25,13,36
12,24,100,0.083333,1,8,1
12,24,100,0.083333,2,14,3
12,24,100,0.416667,4,9,6
12,24,100,0,0,0,0
12,24,100,11.541667,71,17,95
12,24,100,0.083333,1,10,1
12,24,100,0,0,0,0
12,24,100,0,0,0,0
12,24,100,0,0,0,0
12,24,100,0,0,0,0
12,24,100,1.75,9,11,13
12,23,96,0.043478,1,11,1
12,24,100,0,0,0,0
12,24,100,0,0,0,0
12,24,100,0,0,0,0
12,24,100,0,0,0,0
12,24,100,0,0,0,0
12,24,100,0,0,0,0
12,24,100,0,0,0,0
12,24,100,0,0,0,0
12,24,100,0,0,0,0
12,24,100,0.041667,1,14,1
12,24,100,0,0,0,0
12,24,100,0,0,0,0
12,24,100,0,0,0,0
12,24,100,0,0,0,0
12,19,79,0.052632,1,13,1
12,24,100,0.041667,1,9,1
12,24,100,0.041667,1,12,1
12,24,100,0,0,0,0
12,24,100,0,0,0,0
12,24,100,0,0,0,0
12,24,100,0,0,0,0
12,24,100,0.041667,1,6,1
12,24,100,4.625,32,15,46
