State Code,Observation Percent,Arithmetic Mean,1st Max Value,1st Max Hour,AQI
12,100,0.708333,1,0,1
12,100,0.666667,1,0,1
12,100,0.958333,1,1,1
12,100,1,1,0,1
12,100,0.291667,1,0,1
12,100,0.25,1,7,1
12,88,0.904762,1,0,1
12,100,1.041667,2,7,3
12,100,1.041667,2,7,3
12,100,0.916667,1,0,1
12,100,0.666667,1,0,1
12,100,0.791667,1,1,1
12,88,0.857143,2,12,3
12,100,0.666667,1,0,1
12,100,0.916667,1,0,1
12,100,1,1,0,1
12,100,0.958333,1,0,1
12,100,0.541667,2,8,3
12,100,0.625,1,1,1
12,100,0.666667,2,10,3
12,42,0.6,1,0,1
12,58,-0.021429,0.1,10,0
12,100,0.033333,0.3,12,0
12,100,0.108333,0.4,8,0
12,100,0.095833,0.4,13,0
12,100,0.208333,0.8,12,0
12,100,0.1125,0.6,9,0
12,100,0.154167,1,6,1
12,100,-0.05,0.2,7,0
12,100,-0.058333,0,0,0
12,100,-0.0375,0.1,10,0
12,100,0.004167,0.4,6,0
12,100,0.166667,1.2,6,1
12,100,0.325,2.6,15,3
12,100,0.054167,0.6,9,0
12,100,0.0375,0.3,9,0
12,100,-0.025,0.1,9,0
12,92,0.081818,0.7,12,0
12,100,0.158333,0.6,8,0
12,100,0.1375,0.4,8,0
12,100,0.191667,0.4,6,0
12,100,0.141667,0.5,9,0
12,100,0.204167,0.4,10,0
12,100,0.1125,0.6,5,0
12,96,0.047826,0.5,12,0
12,100,0.158333,1.9,7,1
12,100,0.0125,0.1,3,0
12,100,0.158333,0.9,16,0
12,100,0.3625,1.3,1,1
12,100,0.1,0.2,6,0
12,100,0.104167,0.4,5,0
12,100,0,0,0,0
12,100,0,0,0,0
12,100,0,0,0,0
12,100,0,0,0,0
12,100,0.208333,1,7,1
12,100,0,0,0,0
12,100,0.041667,1,10,1
12,96,0.347826,5,13,7
12,100,0.583333,2,9,3
12,100,0.166667,1,6,1
12,100,0,0,0,0
12,100,0,0,0,0
12,100,0,0,0,0
12,100,0,0,0,0
12,100,0,0,0,0
12,100,0.083333,1,9,1
12,100,0,0,0,0
12,100,0.125,2,14,3
12,100,0,0,0,0
12,100,0,0,0,0
12,100,0,0,0,0
12,92,0.045455,1,6,1
12,100,0,0,0,0
12,100,0,0,0,0
12,100,0.041667,1,10,1
12,100,0.041667,1,8,1
12,100,0,0,0,0
12,100,0.041667,1,6,1
12,100,0,0,0,0
12,100,0.083333,1,5,1
12,100,0.125,1,8,1
12,100,0.291667,1,0,1
12,100,0.125,1,8,1
12,100,0.166667,1,5,1
12,100,0.083333,1,0,1
12,92,0.090909,1,16,1
12,100,0.166667,1,11,1
12,100,0.25,1,6,1
12,100,0.583333,2,13,3
12,100,0.375,1,4,1
12,100,0.166667,1,7,1
12,100,0.25,1,9,1
12,100,0.166667,1,7,1
12,100,0.166667,1,9,1
12,100,0.166667,1,11,1
12,100,0.166667,1,4,1
12,100,0,0,0,0
12,100,0.166667,1,2,1
12,88,0.285714,1,10,1
12,100,0.25,1,8,1
12,100,-0.041667,0,0,0
12,100,0.125,1,9,1
12,100,0.916667,1,0,1
12,100,1,1,0,1
12,100,1.041667,2,6,3
12,100,1,1,0,1
12,100,1.041667,2,9,3
12,100,1,1,0,1
12,100,1.166667,2,5,3
12,100,1.75,3,9,4
12,100,1.083333,2,11,3
12,100,1.041667,2,15,3
12,46,1.090909,2,6,3
12,50,0,0,12,0
12,100,0,0,0,0
12,100,0.083333,1,5,1
12,100,0.125,1,13,1
12,100,0,0,0,0
12,100,0,0,0,0
12,100,0,0,0,0
12,92,0,0,0,0
12,100,0,0,0,0
12,100,0,0,0,0
12,100,0.125,1,11,1
12,100,0.5,3,12,4
12,100,0.041667,1,6,1
12,92,0,0,0,0
12,100,0,0,0,0
12,100,0,0,0,0
12,100,0,0,0,0
12,100,0,0,0,0
12,100,0,0,0,0
12,100,0.125,1,6,1
12,100,0,0,0,0
12,92,0,0,0,0
12,100,0,0,0,0
12,100,0,0,0,0
12,100,0,0,0,0
12,100,0.083333,1,0,1
12,100,0,0,0,0
12,100,0.125,1,6,1
12,100,0.083333,1,5,1
12,100,0,0,0,0
12,100,0,0,0,0
12,100,0.041667,1,7,1
12,100,0,0,0,0
12,100,0,0,0,0
12,100,0.125,1,6,1
12,100,0.083333,1,22,1
12,100,0.541667,2,5,3
12,92,0.454545,2,5,3
12,100,0.5,3,15,4
12,100,0.666667,5,12,7
12,100,0.333333,1,4,1
12,100,0.166667,1,5,1
12,100,0.375,1,1,1
12,100,0.416667,1,1,1
12,100,0.333333,2,6,3
12,100,0.375,1,0,1
12,100,0.083333,1,0,1
12,100,0.166667,1,4,1
12,100,0.458333,1,4,1
12,92,0.454545,1,3,1
12,100,0.583333,1,0,1
12,100,0.625,2,6,3
12,100,0,0,0,0
12,100,0.041667,1,14,1
12,96,0.043478,1,14,1
12,100,0.291667,1,2,1
12,46,0.363636,1,4,1
12,29,0,0,17,0
12,92,0.090909,1,13,1
12,100,0.041667,1,17,1
12,100,0,0,0,0
12,100,0,0,0,0
12,100,0,0,0,0
12,100,0,0,0,0
12,100,0,0,0,0
12,100,0,0,0,0
12,100,0.375,1,5,1
12,100,0.875,2,22,3
